timestamp,raw_chord,raw_confidence,legacy_stable,fixed_stable,fixed_confidence,candidate,candidate_root,candidate_confidence,candidate_age_ms,candidate_frames,support_age_ms
0.0,F#,0.9,F#,F#,0.9,--,--,0.0,0.0,0,0.0
0.05,F#,0.9,F#,F#,0.9,--,--,0.0,0.0,0,0.0
0.1,F#,0.9,F#,F#,0.9,--,--,0.0,0.0,0,0.0
0.15,F#,0.9,F#,F#,0.9,--,--,0.0,0.0,0,0.0
0.2,A,0.62,F#,F#,0.85,A,A,0.62,0.0,1,50.0
0.3,A7,0.62,F#,F#,0.75,A,A,0.62,100.0,2,150.0
0.4,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
0.5,E/A,0.62,F#,A,0.551,E,E,0.62,0.0,1,100.0
0.6,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
0.7,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
0.8,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
0.9,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.0,A7,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.1,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.2,E/A,0.62,F#,A,0.551,E,E,0.62,700.0,2,100.0
1.3,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.4,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.5,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.6,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.7,A7,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.8,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
1.9,E/A,0.62,F#,A,0.551,E,E,0.62,700.0,2,100.0
2.0,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.1,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.2,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.3,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.4,A7,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.5,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.6,E/A,0.62,F#,A,0.551,E,E,0.62,700.0,2,100.0
2.7,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.8,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
2.9,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.0,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.1,A7,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.2,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.3,E/A,0.62,F#,A,0.551,E,E,0.62,700.0,2,100.0
3.4,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.5,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.6,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.7,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.8,A7,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
3.9,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.0,E/A,0.62,F#,A,0.551,E,E,0.62,700.0,2,100.0
4.1,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.2,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.3,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.4,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.5,A7,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.6,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.7,E/A,0.62,F#,A,0.551,E,E,0.62,700.0,2,100.0
4.8,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
4.9,Asus4,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
5.0,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
5.1,A,0.62,F#,A,0.62,--,--,0.0,0.0,0,0.0
